tweet_text	target
rt @dlfluegge: crazy flooding in boulder, colorado http://t.co/sg0iidqcey via @youtube	sympathy_prayers
here's the #boulderflood video that's circulating around. right in my old neighborhood west of cu! #staysafe  http://t.co/empboebk7m”	other_useful_info
rt @passantino: video: severe flooding hits near univ. of colorado at boulder http://t.co/7jkjogcjdh	other_useful_info
crazy flooding in boulder, colorado http://t.co/3igoyaafwe	other_useful_info
thoughts and prayers out to those in boulder who may not get to amante for morning coffee. #boulderflood	sympathy_prayers
what... “@amyzphd: @jugglegod they are saying south boulder creek near eldo sprgs is past #100yearflood levels #boulderflood”	other_useful_info
rt @markloiseau: boulder's floodplain map http://t.co/y4wcyyo7k7 #boulderflood	other_useful_info
who's tryin to tube on boulder creek right now? #boulderflood	other_useful_info
rt @dailycamera: video: flooding at 28th st underpass in #boulder tonight http://t.co/jhqbnozwif #boulderflood	infrastructure_utilities
rt @boulderch1news: scanner #boulderflood reports lee road rock slide road is closed	infrastructure_utilities
rt @elaine: with the #boulderflood, remember to check and trust your sources before you retweet. don't go around spreading false informatio…	caution_advice
pray for boulder, colorado #boulderflood	sympathy_prayers
rt @shoutsteph: and i thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1luxpp…	other_useful_info
evacuation order for the town of #jamestown, #co. torrential #flooding rain in the front range urban corridor, n of i-70 #cowx #boulderflood	caution_advice
rt @shanacordon: evacuation bags are ready by the front door. now hoping for some rest. be safe &amp; well #boulder friends. #boulderflood #cowx	sympathy_prayers
#breaking: jamestown, colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/bn3gblkhqg	caution_advice
the weather is crazy over here..we have rivers now, &amp; some students are evacuating the dorms while others went mud sliding xd #boulderflood	affected_individuals
damnit @twitter take care of the spammers using #boulderflood	other_useful_info
rt @nwsboulder significant flooding at the justice center in #boulderflood #cowx	infrastructure_utilities
rt @timescall: #westminster and #thornton swift-water dive teams en route to #boulder in case they are needed. #boulderflood #cowx	donations_volunteering
#russelladler #news jamestown, colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbhzajqz	caution_advice
rt @txstormchasers: rt @odog: sleeping above ground tonight. stay safe #boulderflood #boulder http://t.co/mgacewlokc #cowx	sympathy_prayers
holy shit. boulder creek water volume for the last year. be careful. #boulder #boulderflood http://t.co/tfbor1iuff http://t.co/2qeyyqhbwk	caution_advice
#boulder #colorado has like 340 days of sunshine a year. now the #boulderflood ? that just proves if we are gonna do it, we do it big!	other_useful_info
links for information on #boulderflood from @boulderoem @cuboulder @nwsboulder @bouldercolorado #cowx  http://t.co/6qwhs0klq5	other_useful_info
#socy2044  will there be looting? or an increase in crime this weekend?#boulderflood	other_useful_info
rt @txstormchasers: scanner: highway 66 going into lyons is underwater from the west at the diamond shamrock. #cowx  #boulderflood	infrastructure_utilities
rain again picking up in dwtn bldr #boulderflood	other_useful_info
for updates on additional evacuation points throughout boulder county for #boulderflood visit http://t.co/zbold3ujeq	caution_advice
rt @dailycamera: video: flooding at 28th st underpass in #boulder tonight http://t.co/jhqbnozwif #boulderflood	infrastructure_utilities
flash floods wash away homes, kill at least one near boulder, colorado - u.s. news http://t.co/p5mhlfbnlr via @nbcnews	affected_individuals
